Date,Production_Line,Machine_ID,Product,Target_Production,Actual_Production,Defective_Units,Downtime_Minutes,Operating_Hours
2025-01-05,Line 2,M201,Product C,1070,1082,64,64,6.93
2025-01-05,Line 2,M202,Product B,1165,982,56,122,5.97
2025-01-05,Line 3,M301,Product D,861,709,11,96,6.4
2025-01-05,Line 3,M302,Product A,1101,1008,38,11,7.82
2025-01-05,Line 4,M401,Product A,1162,1091,39,27,7.55
2025-01-05,Line 4,M402,Product A,969,747,22,81,6.65
2025-01-06,Line 1,M101,Product D,909,828,54,156,5.4
2025-01-06,Line 1,M102,Product D,924,910,61,58,7.03
2025-01-06,Line 2,M201,Product A,849,804,30,118,6.03
2025-01-06,Line 2,M202,Product D,1039,1048,16,177,5.05
2025-01-06,Line 3,M301,Product A,831,723,28,37,7.38
2025-01-06,Line 3,M302,Product B,898,724,35,45,7.25
2025-01-06,Line 4,M401,Product D,893,744,22,29,7.52
2025-01-06,Line 4,M402,Product D,1081,842,49,148,5.53
2025-01-07,Line 1,M101,Product A,847,870,62,70,6.83
2025-01-07,Line 1,M102,Product B,1008,902,36,112,6.13
2025-01-07,Line 2,M201,Product A,884,763,31,77,6.72
2025-01-07,Line 2,M202,Product D,946,829,54,152,5.47
2025-01-07,Line 3,M301,Product D,879,709,20,24,7.6
2025-01-07,Line 3,M302,Product A,1182,997,15,159,5.35
2025-01-07,Line 4,M401,Product D,1057,1084,77,50,7.17
2025-01-07,Line 4,M402,Product A,1060,820,19,27,7.55
2025-01-08,Line 1,M101,Product A,1145,1154,62,40,7.33
2025-01-08,Line 1,M102,Product B,1096,1017,20,117,6.05
2025-01-08,Line 2,M201,Product C,933,756,52,90,6.5
2025-01-08,Line 2,M202,Product B,935,812,50,175,5.08
2025-01-08,Line 3,M301,Product C,1034,873,56,28,7.53
2025-01-08,Line 3,M302,Product A,1034,968,21,28,7.53
2025-01-08,Line 4,M401,Product B,1059,878,67,99,6.35
2025-01-08,Line 4,M402,Product A,925,796,17,122,5.97
2025-01-09,Line 1,M101,Product C,1113,1163,78,12,7.8
2025-01-09,Line 1,M102,Product C,1139,889,25,77,6.72
2025-01-09,Line 2,M201,Product A,854,830,17,79,6.68
2025-01-09,Line 2,M202,Product C,1109,901,52,62,6.97
2025-01-09,Line 3,M301,Product C,1058,948,15,33,7.45
2025-01-09,Line 3,M302,Product D,941,718,28,43,7.28
2025-01-09,Line 4,M401,Product C,882,857,43,119,6.02
2025-01-09,Line 4,M402,Product A,857,662,50,48,7.2
2025-01-10,Line 1,M101,Product A,989,914,27,120,6.0
2025-01-10,Line 1,M102,Product B,821,691,8,101,6.32
2025-01-10,Line 2,M201,Product B,1149,947,22,100,6.33
2025-01-10,Line 2,M202,Product D,1117,1088,40,51,7.15
2025-01-10,Line 3,M301,Product B,1011,765,54,95,6.42
2025-01-10,Line 3,M302,Product D,1142,1152,42,78,6.7
2025-01-10,Line 4,M401,Product B,1159,906,13,130,5.83
2025-01-10,Line 4,M402,Product B,902,897,66,99,6.35
2025-01-11,Line 1,M101,Product C,916,748,49,59,7.02
2025-01-11,Line 1,M102,Product D,968,806,12,81,6.65
2025-01-11,Line 2,M201,Product C,1128,1018,78,94,6.43
2025-01-11,Line 2,M202,Product A,859,870,24,55,7.08
2025-01-11,Line 3,M301,Product C,819,640,33,98,6.37
2025-01-11,Line 3,M302,Product C,1023,953,74,39,7.35
2025-01-11,Line 4,M401,Product D,1095,883,10,121,5.98
2025-01-11,Line 4,M402,Product A,1066,1095,78,60,7.0
2025-01-12,Line 1,M101,Product C,1020,786,49,94,6.43
2025-01-12,Line 1,M102,Product C,1139,1144,49,139,5.68
2025-01-12,Line 2,M201,Product C,1141,995,60,85,6.58
2025-01-12,Line 2,M202,Product B,898,786,31,54,7.1
2025-01-12,Line 3,M301,Product C,1007,920,9,87,6.55
2025-01-12,Line 3,M302,Product C,907,797,44,165,5.25
2025-01-12,Line 4,M401,Product C,1038,916,36,140,5.67
2025-01-12,Line 4,M402,Product D,1176,941,19,82,6.63
2025-01-13,Line 1,M101,Product C,847,843,56,70,6.83
2025-01-13,Line 1,M102,Product C,915,907,27,16,7.73
2025-01-13,Line 2,M201,Product A,925,966,18,126,5.9
2025-01-13,Line 2,M202,Product D,1122,1035,59,136,5.73
2025-01-13,Line 3,M301,Product D,924,733,51,11,7.82
2025-01-13,Line 3,M302,Product A,1198,1051,32,142,5.63
2025-01-13,Line 4,M401,Product D,825,756,14,126,5.9
2025-01-13,Line 4,M402,Product B,1037,985,49,123,5.95
2025-01-14,Line 1,M101,Product D,1080,954,29,131,5.82
2025-01-14,Line 1,M102,Product D,932,909,44,143,5.62
2025-01-14,Line 2,M201,Product D,1120,920,65,29,7.52
2025-01-14,Line 2,M202,Product C,920,764,27,148,5.53
2025-01-14,Line 3,M301,Product A,870,691,30,49,7.18
2025-01-14,Line 3,M302,Product B,832,727,28,148,5.53
2025-01-14,Line 4,M401,Product D,1012,777,60,117,6.05
2025-01-14,Line 4,M402,Product D,1194,1104,13,157,5.38
2025-01-15,Line 1,M101,Product D,1044,784,29,86,6.57
2025-01-15,Line 1,M102,Product D,1014,924,37,134,5.77
2025-01-15,Line 2,M201,Product B,939,827,9,109,6.18
2025-01-15,Line 2,M202,Product C,1142,1089,61,52,7.13
2025-01-15,Line 3,M301,Product D,865,903,12,110,6.17
2025-01-15,Line 3,M302,Product A,842,793,15,128,5.87
2025-01-15,Line 4,M401,Product B,825,683,26,64,6.93
2025-01-15,Line 4,M402,Product D,967,823,64,107,6.22
2025-01-16,Line 1,M101,Product C,1185,1226,65,74,6.77
2025-01-16,Line 1,M102,Product A,1040,786,41,23,7.62
2025-01-16,Line 2,M201,Product C,914,863,57,176,5.07
2025-01-16,Line 2,M202,Product A,1186,900,40,61,6.98
2025-01-16,Line 3,M301,Product A,1118,889,24,131,5.82
2025-01-16,Line 3,M302,Product A,1088,1125,70,75,6.75
2025-01-16,Line 4,M401,Product C,885,824,55,39,7.35
2025-01-16,Line 4,M402,Product B,959,750,8,89,6.52
2025-01-17,Line 1,M101,Product D,1003,1035,35,29,7.52
2025-01-17,Line 1,M102,Product B,852,817,27,163,5.28
2025-01-17,Line 2,M201,Product A,1089,1072,54,146,5.57
2025-01-17,Line 2,M202,Product D,1138,980,73,175,5.08
2025-01-17,Line 3,M301,Product C,806,809,60,135,5.75
2025-01-17,Line 3,M302,Product A,1021,1060,68,49,7.18
2025-01-17,Line 4,M401,Product D,890,863,69,176,5.07
2025-01-17,Line 4,M402,Product C,1115,1106,79,133,5.78
2025-01-18,Line 1,M101,Product D,1023,1020,44,92,6.47
2025-01-18,Line 1,M102,Product B,844,703,35,72,6.8
2025-01-18,Line 2,M201,Product D,1091,1018,58,96,6.4
2025-01-18,Line 2,M202,Product A,1053,1058,33,134,5.77
2025-01-18,Line 3,M301,Product B,981,970,52,81,6.65
2025-01-18,Line 3,M302,Product C,1084,816,20,31,7.48
2025-01-18,Line 4,M401,Product B,1168,1018,81,71,6.82
2025-01-18,Line 4,M402,Product D,1130,1088,67,14,7.77
2025-01-19,Line 1,M101,Product A,950,775,51,72,6.8
2025-01-19,Line 1,M102,Product C,1139,1052,70,151,5.48
2025-01-19,Line 2,M201,Product C,1017,1066,80,94,6.43
2025-01-19,Line 2,M202,Product C,1159,1027,49,74,6.77
2025-01-19,Line 3,M301,Product B,861,832,28,40,7.33
2025-01-19,Line 3,M302,Product B,898,731,37,80,6.67
2025-01-19,Line 4,M401,Product C,851,850,26,68,6.87
2025-01-19,Line 4,M402,Product C,891,749,52,146,5.57
2025-01-20,Line 1,M101,Product B,940,717,10,151,5.48
2025-01-20,Line 1,M102,Product C,1157,1195,92,135,5.75
2025-01-20,Line 2,M201,Product A,806,743,37,132,5.8
2025-01-20,Line 2,M202,Product D,974,784,10,74,6.77
2025-01-20,Line 3,M301,Product D,858,855,33,135,5.75
2025-01-20,Line 3,M302,Product A,1095,1028,16,48,7.2
2025-01-20,Line 4,M401,Product B,1088,1125,21,73,6.78
2025-01-20,Line 4,M402,Product A,1085,1062,38,143,5.62
2025-01-21,Line 1,M101,Product D,1030,1053,48,160,5.33
2025-01-21,Line 1,M102,Product D,956,880,11,166,5.23
2025-01-21,Line 2,M201,Product A,1190,966,36,77,6.72
2025-01-21,Line 2,M202,Product A,880,723,42,29,7.52
2025-01-21,Line 3,M301,Product B,801,698,50,162,5.3
2025-01-21,Line 3,M302,Product D,949,721,25,82,6.63
2025-01-21,Line 4,M401,Product D,836,799,23,170,5.17
2025-01-21,Line 4,M402,Product B,1017,797,21,175,5.08
2025-01-22,Line 1,M101,Product B,936,934,18,25,7.58
2025-01-22,Line 1,M102,Product B,957,888,44,122,5.97
2025-01-22,Line 2,M201,Product A,1039,993,60,79,6.68
2025-01-22,Line 2,M202,Product D,1024,792,9,120,6.0
2025-01-22,Line 3,M301,Product C,1109,915,20,68,6.87
2025-01-22,Line 3,M302,Product A,1191,1133,45,157,5.38
2025-01-22,Line 4,M401,Product A,1190,1162,71,142,5.63
2025-01-22,Line 4,M402,Product D,942,757,44,121,5.98
2025-01-23,Line 1,M101,Product D,846,753,33,95,6.42
2025-01-23,Line 1,M102,Product C,1143,893,28,94,6.43
2025-01-23,Line 2,M201,Product D,1155,1037,61,150,5.5
2025-01-23,Line 2,M202,Product A,1032,801,24,92,6.47
2025-01-23,Line 3,M301,Product A,1195,1041,75,10,7.83
2025-01-23,Line 3,M302,Product D,1011,774,40,102,6.3
2025-01-23,Line 4,M401,Product D,1120,988,15,62,6.97
2025-01-23,Line 4,M402,Product C,1081,853,26,122,5.97
2025-01-24,Line 1,M101,Product D,862,653,46,165,5.25
2025-01-24,Line 1,M102,Product B,1163,927,10,151,5.48
2025-01-24,Line 2,M201,Product D,847,692,13,128,5.87
2025-01-24,Line 2,M202,Product A,1131,1130,74,84,6.6
2025-01-24,Line 3,M301,Product C,1012,1012,70,72,6.8
2025-01-24,Line 3,M302,Product D,1082,858,20,163,5.28
2025-01-24,Line 4,M401,Product B,835,695,32,97,6.38
2025-01-24,Line 4,M402,Product C,801,668,25,160,5.33
2025-01-25,Line 1,M101,Product D,876,774,37,98,6.37
2025-01-25,Line 1,M102,Product C,1082,1059,58,126,5.9
2025-01-25,Line 2,M201,Product C,896,935,39,156,5.4
2025-01-25,Line 2,M202,Product D,919,925,61,21,7.65
2025-01-25,Line 3,M301,Product C,1181,1053,58,108,6.2
2025-01-25,Line 3,M302,Product B,1053,1094,26,138,5.7
2025-01-25,Line 4,M401,Product C,851,861,36,35,7.42
2025-01-25,Line 4,M402,Product D,807,780,33,177,5.05
2025-01-26,Line 1,M101,Product B,838,746,23,96,6.4
2025-01-26,Line 1,M102,Product D,1132,876,29,146,5.57
2025-01-26,Line 2,M201,Product D,962,902,71,148,5.53
2025-01-26,Line 2,M202,Product A,1116,859,48,83,6.62
2025-01-26,Line 3,M301,Product B,1182,918,21,172,5.13
2025-01-26,Line 3,M302,Product A,1027,821,27,17,7.72
2025-01-26,Line 4,M401,Product A,966,955,46,101,6.32
2025-01-26,Line 4,M402,Product C,1020,809,41,115,6.08
2025-01-27,Line 1,M101,Product B,887,711,46,107,6.22
2025-01-27,Line 1,M102,Product B,1054,1079,28,69,6.85
2025-01-27,Line 2,M201,Product D,1126,930,41,180,5.0
2025-01-27,Line 2,M202,Product A,1038,1059,79,50,7.17
2025-01-27,Line 3,M301,Product A,1026,1060,48,173,5.12
2025-01-27,Line 3,M302,Product D,1153,951,47,60,7.0
2025-01-27,Line 4,M401,Product D,1047,818,32,156,5.4
2025-01-27,Line 4,M402,Product C,1094,917,46,15,7.75
2025-01-28,Line 1,M101,Product D,940,707,50,22,7.63
2025-01-28,Line 1,M102,Product D,946,929,38,165,5.25
2025-01-28,Line 2,M201,Product C,912,858,47,74,6.77
2025-01-28,Line 2,M202,Product B,1121,873,48,175,5.08
2025-01-28,Line 3,M301,Product A,958,945,13,158,5.37
2025-01-28,Line 3,M302,Product C,1174,926,46,93,6.45
2025-01-28,Line 4,M401,Product D,889,720,57,148,5.53
2025-01-28,Line 4,M402,Product C,1071,964,43,52,7.13
2025-01-29,Line 1,M101,Product C,1046,1088,47,96,6.4
2025-01-29,Line 1,M102,Product A,1039,1079,28,67,6.88
2025-01-29,Line 2,M201,Product D,1085,932,59,13,7.78
2025-01-29,Line 2,M202,Product C,1074,845,31,77,6.72
2025-01-29,Line 3,M301,Product D,1126,1162,24,69,6.85
2025-01-29,Line 3,M302,Product D,812,759,42,93,6.45
2025-01-29,Line 4,M401,Product B,1131,869,60,128,5.87
2025-01-29,Line 4,M402,Product C,1132,987,26,21,7.65
2025-01-30,Line 1,M101,Product A,955,1001,24,34,7.43
2025-01-30,Line 1,M102,Product B,1075,850,37,104,6.27
2025-01-30,Line 2,M201,Product D,1100,1069,29,116,6.07
2025-01-30,Line 2,M202,Product A,1050,981,44,18,7.7
2025-01-30,Line 3,M301,Product C,911,804,23,102,6.3
2025-01-30,Line 3,M302,Product A,1151,990,54,25,7.58
2025-01-30,Line 4,M401,Product D,941,759,14,126,5.9
2025-01-30,Line 4,M402,Product A,1139,926,11,22,7.63
2025-01-31,Line 1,M101,Product C,924,967,35,27,7.55
2025-01-31,Line 1,M102,Product B,1100,896,37,94,6.43
2025-01-31,Line 2,M201,Product B,1105,829,62,47,7.22
2025-01-31,Line 2,M202,Product B,1076,887,19,38,7.37
2025-01-31,Line 3,M301,Product A,867,654,21,160,5.33
2025-01-31,Line 3,M302,Product C,808,648,9,42,7.3
2025-01-31,Line 4,M401,Product D,1069,838,12,131,5.82
2025-01-31,Line 4,M402,Product D,1198,1028,23,125,5.92
2025-02-01,Line 1,M101,Product B,1114,849,58,178,5.03
2025-02-01,Line 1,M102,Product C,1034,975,12,25,7.58
2025-02-01,Line 2,M201,Product D,1005,882,14,135,5.75
2025-02-01,Line 2,M202,Product D,837,853,28,165,5.25
2025-02-01,Line 3,M301,Product B,833,656,45,172,5.13
2025-02-01,Line 3,M302,Product C,995,1043,77,85,6.58
2025-02-01,Line 4,M401,Product D,1058,985,21,39,7.35
2025-02-01,Line 4,M402,Product B,1020,903,38,115,6.08
2025-02-02,Line 1,M101,Product C,1032,897,20,90,6.5
2025-02-02,Line 1,M102,Product D,960,911,56,49,7.18
2025-02-02,Line 2,M201,Product D,834,648,11,33,7.45
2025-02-02,Line 2,M202,Product D,849,826,31,43,7.28
2025-02-02,Line 3,M301,Product A,1100,1140,82,94,6.43
2025-02-02,Line 3,M302,Product A,1010,864,50,118,6.03
2025-02-02,Line 4,M401,Product A,947,880,30,36,7.4
2025-02-02,Line 4,M402,Product B,879,832,22,37,7.38
2025-02-03,Line 1,M101,Product C,1084,932,44,156,5.4
2025-02-03,Line 1,M102,Product B,1019,1022,81,16,7.73
2025-02-03,Line 2,M201,Product C,814,654,50,89,6.52
2025-02-03,Line 2,M202,Product C,979,736,16,154,5.43
2025-02-03,Line 3,M301,Product D,835,661,46,17,7.72
2025-02-03,Line 3,M302,Product A,1182,1074,58,117,6.05
2025-02-03,Line 4,M401,Product D,974,776,26,93,6.45
2025-02-03,Line 4,M402,Product A,826,658,45,22,7.63
2025-02-04,Line 1,M101,Product A,939,829,35,134,5.77
2025-02-04,Line 1,M102,Product D,1012,841,56,141,5.65
2025-02-04,Line 2,M201,Product A,976,857,26,161,5.32
2025-02-04,Line 2,M202,Product D,1069,1015,15,66,6.9
2025-02-04,Line 3,M301,Product D,1106,847,21,87,6.55
2025-02-04,Line 3,M302,Product B,1192,943,41,84,6.6
2025-02-04,Line 4,M401,Product C,861,647,33,54,7.1
2025-02-04,Line 4,M402,Product B,994,904,38,138,5.7
2025-02-05,Line 1,M101,Product C,836,726,54,20,7.67
2025-02-05,Line 1,M102,Product D,809,718,11,90,6.5
2025-02-05,Line 2,M201,Product D,1093,952,62,84,6.6
2025-02-05,Line 2,M202,Product A,1007,761,27,53,7.12
2025-02-05,Line 3,M301,Product D,1153,1182,22,121,5.98
2025-02-05,Line 3,M302,Product A,924,813,33,144,5.6
2025-02-05,Line 4,M401,Product A,1002,1013,53,66,6.9
2025-02-05,Line 4,M402,Product C,1198,958,74,172,5.13
2025-02-06,Line 1,M101,Product A,1071,967,53,99,6.35
2025-02-06,Line 1,M102,Product B,920,718,23,60,7.0
2025-02-06,Line 2,M201,Product B,1108,881,56,177,5.05
2025-02-06,Line 2,M202,Product A,890,921,72,128,5.87
2025-02-06,Line 3,M301,Product D,1148,1179,83,174,5.1
2025-02-06,Line 3,M302,Product C,1121,947,65,27,7.55
2025-02-06,Line 4,M401,Product D,1026,963,44,161,5.32
2025-02-06,Line 4,M402,Product A,980,884,27,128,5.87
2025-02-07,Line 1,M101,Product D,819,628,24,29,7.52
2025-02-07,Line 1,M102,Product A,1114,1034,59,128,5.87
2025-02-07,Line 2,M201,Product A,1030,1053,83,176,5.07
2025-02-07,Line 2,M202,Product B,964,897,27,25,7.58
2025-02-07,Line 3,M301,Product D,852,846,61,97,6.38
2025-02-07,Line 3,M302,Product A,1058,998,14,73,6.78
2025-02-07,Line 4,M401,Product D,1024,928,29,103,6.28
2025-02-07,Line 4,M402,Product C,944,817,57,96,6.4
2025-02-08,Line 1,M101,Product A,1123,1060,18,94,6.43
2025-02-08,Line 1,M102,Product A,1085,1034,46,74,6.77
2025-02-08,Line 2,M201,Product B,970,751,49,46,7.23
2025-02-08,Line 2,M202,Product C,958,996,59,43,7.28
2025-02-08,Line 3,M301,Product A,958,879,49,94,6.43
2025-02-08,Line 3,M302,Product B,1143,1098,77,33,7.45
2025-02-08,Line 4,M401,Product D,1060,910,55,89,6.52
2025-02-08,Line 4,M402,Product B,909,774,56,134,5.77
2025-02-09,Line 1,M101,Product B,915,960,28,29,7.52
2025-02-09,Line 1,M102,Product C,851,767,41,144,5.6
2025-02-09,Line 2,M201,Product A,1138,968,25,162,5.3
2025-02-09,Line 2,M202,Product D,878,701,51,169,5.18
2025-02-09,Line 3,M301,Product B,1169,1030,62,103,6.28
2025-02-09,Line 3,M302,Product B,1027,958,66,69,6.85
2025-02-09,Line 4,M401,Product B,958,996,69,59,7.02
2025-02-09,Line 4,M402,Product C,1147,1186,67,128,5.87
2025-02-10,Line 1,M101,Product C,1198,1035,77,117,6.05
2025-02-10,Line 1,M102,Product B,902,893,25,74,6.77
2025-02-10,Line 2,M201,Product A,1128,1008,57,151,5.48
2025-02-10,Line 2,M202,Product A,1164,1168,26,82,6.63
2025-02-10,Line 3,M301,Product A,1190,949,66,141,5.65
2025-02-10,Line 3,M302,Product B,1023,795,21,125,5.92
2025-02-10,Line 4,M401,Product C,813,710,32,138,5.7
2025-02-10,Line 4,M402,Product C,920,796,12,105,6.25
2025-02-11,Line 1,M101,Product B,814,688,12,176,5.07
2025-02-11,Line 1,M102,Product C,874,691,24,130,5.83
2025-02-11,Line 2,M201,Product B,1188,1142,68,167,5.22
2025-02-11,Line 2,M202,Product A,840,634,19,48,7.2
2025-02-11,Line 3,M301,Product D,856,841,23,87,6.55
2025-02-11,Line 3,M302,Product A,824,676,46,169,5.18
2025-02-11,Line 4,M401,Product D,832,651,37,162,5.3
2025-02-11,Line 4,M402,Product A,1123,1015,40,46,7.23
2025-02-12,Line 1,M101,Product C,1019,764,29,71,6.82
2025-02-12,Line 1,M102,Product D,895,849,13,144,5.6
2025-02-12,Line 2,M201,Product C,834,864,42,139,5.68
2025-02-12,Line 2,M202,Product A,999,1010,15,172,5.13
2025-02-12,Line 3,M301,Product D,991,818,9,101,6.32
2025-02-12,Line 3,M302,Product A,976,802,50,170,5.17
2025-02-12,Line 4,M401,Product A,1195,1104,53,44,7.27
2025-02-12,Line 4,M402,Product A,980,895,30,128,5.87
2025-02-13,Line 1,M101,Product D,1123,903,26,26,7.57
2025-02-13,Line 1,M102,Product D,818,685,8,61,6.98
2025-02-13,Line 2,M201,Product A,961,989,74,111,6.15
2025-02-13,Line 2,M202,Product D,929,706,48,58,7.03
2025-02-13,Line 3,M301,Product C,982,990,15,177,5.05
2025-02-13,Line 3,M302,Product C,939,739,30,121,5.98
2025-02-13,Line 4,M401,Product D,1180,1040,59,96,6.4
2025-02-13,Line 4,M402,Product B,1054,1009,57,142,5.63
2025-02-14,Line 1,M101,Product C,842,815,13,120,6.0
2025-02-14,Line 1,M102,Product B,1079,904,22,30,7.5
2025-02-14,Line 2,M201,Product C,1138,954,66,164,5.27
2025-02-14,Line 2,M202,Product D,885,846,30,124,5.93
2025-02-14,Line 3,M301,Product A,1172,1184,56,167,5.22
2025-02-14,Line 3,M302,Product D,940,885,58,24,7.6
2025-02-14,Line 4,M401,Product A,1143,1075,56,141,5.65
2025-02-14,Line 4,M402,Product B,815,646,44,122,5.97
2025-02-15,Line 1,M101,Product A,864,665,47,103,6.28
2025-02-15,Line 1,M102,Product C,996,1030,14,164,5.27
2025-02-15,Line 2,M201,Product B,1147,1015,57,105,6.25
2025-02-15,Line 2,M202,Product D,1190,919,26,145,5.58
2025-02-15,Line 3,M301,Product C,1003,846,25,73,6.78
2025-02-15,Line 3,M302,Product A,813,789,38,142,5.63
2025-02-15,Line 4,M401,Product D,1087,853,57,76,6.73
2025-02-15,Line 4,M402,Product D,909,953,45,135,5.75
2025-02-16,Line 1,M101,Product B,862,681,10,125,5.92
2025-02-16,Line 1,M102,Product B,1165,1029,21,91,6.48
2025-02-16,Line 2,M201,Product C,1163,894,45,86,6.57
2025-02-16,Line 2,M202,Product B,1164,1120,33,102,6.3
2025-02-16,Line 3,M301,Product B,862,901,26,70,6.83
2025-02-16,Line 3,M302,Product D,813,697,42,104,6.27
2025-02-16,Line 4,M401,Product D,1082,853,64,32,7.47
2025-02-16,Line 4,M402,Product A,958,832,53,132,5.8
2025-02-17,Line 1,M101,Product D,1193,1041,83,28,7.53
2025-02-17,Line 1,M102,Product B,962,906,66,129,5.85
2025-02-17,Line 2,M201,Product C,865,876,57,151,5.48
2025-02-17,Line 2,M202,Product B,1193,1240,67,138,5.7
2025-02-17,Line 3,M301,Product A,863,781,26,52,7.13
2025-02-17,Line 3,M302,Product B,965,994,37,98,6.37
2025-02-17,Line 4,M401,Product C,840,693,46,151,5.48
2025-02-17,Line 4,M402,Product C,864,810,47,146,5.57
2025-02-18,Line 1,M101,Product A,1057,996,28,53,7.12
2025-02-18,Line 1,M102,Product C,1088,829,63,17,7.72
2025-02-18,Line 2,M201,Product A,823,851,57,157,5.38
2025-02-18,Line 2,M202,Product C,1133,921,62,168,5.2
2025-02-18,Line 3,M301,Product A,1054,1071,79,84,6.6
2025-02-18,Line 3,M302,Product C,1047,862,59,113,6.12
2025-02-18,Line 4,M401,Product C,1032,796,10,50,7.17
2025-02-18,Line 4,M402,Product D,1012,906,35,97,6.38
2025-02-19,Line 1,M101,Product B,960,968,49,98,6.37
2025-02-19,Line 1,M102,Product D,866,847,40,153,5.45
2025-02-19,Line 2,M201,Product A,963,792,14,78,6.7
2025-02-19,Line 2,M202,Product D,926,733,10,84,6.6
2025-02-19,Line 3,M301,Product D,1115,976,29,93,6.45
2025-02-19,Line 3,M302,Product C,897,878,39,141,5.65
2025-02-19,Line 4,M401,Product D,1055,1069,73,15,7.75
2025-02-19,Line 4,M402,Product A,1001,902,39,65,6.92
2025-02-20,Line 1,M101,Product C,824,630,37,162,5.3
2025-02-20,Line 1,M102,Product D,946,861,62,37,7.38
2025-02-20,Line 2,M201,Product D,868,880,54,103,6.28
2025-02-20,Line 2,M202,Product D,987,753,10,155,5.42
2025-02-20,Line 3,M301,Product B,985,902,18,108,6.2
2025-02-20,Line 3,M302,Product D,1191,1089,25,42,7.3
2025-02-20,Line 4,M401,Product A,1001,862,29,152,5.47
2025-02-20,Line 4,M402,Product C,1186,940,74,112,6.13
2025-02-21,Line 1,M101,Product A,823,626,27,131,5.82
2025-02-21,Line 1,M102,Product D,876,816,40,45,7.25
2025-02-21,Line 2,M201,Product C,1113,941,59,167,5.22
2025-02-21,Line 2,M202,Product C,1103,938,74,146,5.57
2025-02-21,Line 3,M301,Product D,1162,1067,70,14,7.77
2025-02-21,Line 3,M302,Product C,969,922,62,159,5.35
2025-02-21,Line 4,M401,Product C,1171,1184,91,16,7.73
2025-02-21,Line 4,M402,Product D,935,972,38,23,7.62
2025-02-22,Line 1,M101,Product D,887,804,54,168,5.2
2025-02-22,Line 1,M102,Product D,875,871,23,18,7.7
2025-02-22,Line 2,M201,Product A,897,677,26,117,6.05
2025-02-22,Line 2,M202,Product B,1011,967,61,138,5.7
2025-02-22,Line 3,M301,Product D,1176,1138,28,142,5.63
2025-02-22,Line 3,M302,Product B,1087,921,70,144,5.6
2025-02-22,Line 4,M401,Product D,960,995,67,146,5.57
2025-02-22,Line 4,M402,Product C,1079,923,42,166,5.23
2025-02-23,Line 1,M101,Product D,898,931,44,152,5.47
2025-02-23,Line 1,M102,Product C,915,944,47,83,6.62
2025-02-23,Line 2,M201,Product B,1153,1108,51,132,5.8
2025-02-23,Line 2,M202,Product C,1086,1118,46,83,6.62
2025-02-23,Line 3,M301,Product A,1093,1041,58,111,6.15
2025-02-23,Line 3,M302,Product C,1195,1184,48,20,7.67
2025-02-23,Line 4,M401,Product C,1165,901,65,177,5.05
2025-02-23,Line 4,M402,Product C,1182,1056,35,147,5.55
2025-02-24,Line 1,M101,Product C,1087,1042,27,37,7.38
2025-02-24,Line 1,M102,Product B,924,707,40,67,6.88
2025-02-24,Line 2,M201,Product B,826,644,27,130,5.83
2025-02-24,Line 2,M202,Product A,1148,1126,11,150,5.5
2025-02-24,Line 3,M301,Product B,1008,953,69,132,5.8
